last,buy,sell,mid,timestamp
9193.5,9193.0,9193.5,9193.0,2020-07-02T06:38:08.829Z
9190.5,9190.5,9191.0,9191.0,2020-07-02T06:38:18.415Z
9190.5,9190.5,9191.0,9191.0,2020-07-02T06:38:28.629Z
9190.5,9190.5,9191.0,9191.0,2020-07-02T06:38:39.006Z
9190.5,9190.5,9191.0,9191.0,2020-07-02T06:38:48.931Z
9191.0,9190.5,9191.0,9191.0,2020-07-02T06:38:56.466Z
9190.5,9190.5,9191.0,9191.0,2020-07-02T06:39:06.886Z
9190.5,9190.5,9191.0,9191.0,2020-07-02T06:39:12.227Z
9191.0,9190.5,9191.0,9191.0,2020-07-02T06:39:29.098Z
9191.0,9190.5,9191.0,9191.0,2020-07-02T06:39:38.644Z
9191.0,9190.5,9191.0,9191.0,2020-07-02T06:39:47.814Z
9191.0,9190.5,9191.0,9191.0,2020-07-02T06:39:58.251Z
9191.0,9190.5,9191.0,9191.0,2020-07-02T06:40:09.048Z
9191.0,9190.5,9191.0,9191.0,2020-07-02T06:40:19.075Z
9190.0,9190.0,9190.5,9190.0,2020-07-02T06:40:27.535Z
9190.0,9190.0,9190.5,9190.0,2020-07-02T06:40:38.138Z
9190.5,9190.0,9190.5,9190.0,2020-07-02T06:40:49.418Z
9190.5,9190.0,9190.5,9190.0,2020-07-02T06:40:58.779Z
9190.5,9190.0,9190.5,9190.0,2020-07-02T06:41:08.879Z
9190.5,9190.0,9190.5,9190.0,2020-07-02T06:41:19.542Z
9190.5,9190.0,9190.5,9190.0,2020-07-02T06:41:28.776Z
9190.5,9190.0,9190.5,9190.0,2020-07-02T06:41:39.242Z
9190.5,9190.0,9190.5,9190.0,2020-07-02T06:41:45.000Z
9190.5,9190.0,9190.5,9190.0,2020-07-02T06:41:58.554Z
9190.0,9190.0,9190.5,9190.0,2020-07-02T06:42:08.486Z
9190.5,9190.0,9190.5,9190.0,2020-07-02T06:42:15.000Z
9190.5,9190.0,9190.5,9190.0,2020-07-02T06:42:28.359Z
9190.0,9190.0,9190.5,9190.0,2020-07-02T06:42:39.688Z
9194.5,9194.0,9194.5,9194.0,2020-07-02T06:42:48.976Z
9194.5,9194.0,9194.5,9194.0,2020-07-02T06:42:58.862Z
9195.5,9195.0,9195.5,9195.0,2020-07-02T06:43:09.283Z
9195.5,9195.0,9195.5,9195.0,2020-07-02T06:43:19.539Z
9195.5,9195.0,9195.5,9195.0,2020-07-02T06:43:28.847Z
9195.5,9195.0,9195.5,9195.0,2020-07-02T06:43:38.887Z
9195.5,9195.0,9195.5,9195.0,2020-07-02T06:43:46.658Z
9195.5,9195.0,9195.5,9195.0,2020-07-02T06:43:51.499Z
9195.5,9195.0,9195.5,9195.0,2020-07-02T06:44:07.202Z
9195.5,9195.0,9195.5,9195.0,2020-07-02T06:44:17.187Z
9195.5,9195.0,9195.5,9195.0,2020-07-02T06:44:27.355Z
9195.5,9195.0,9195.5,9195.0,2020-07-02T06:44:36.883Z
9196.5,9196.0,9196.5,9196.0,2020-07-02T06:44:45.671Z
9196.5,9196.0,9196.5,9196.0,2020-07-02T06:44:55.000Z
9196.0,9196.0,9196.5,9196.0,2020-07-02T06:45:09.848Z
9196.0,9196.0,9196.5,9196.0,2020-07-02T06:45:18.876Z
9196.0,9196.0,9196.5,9196.0,2020-07-02T06:45:28.862Z
9196.0,9196.0,9196.5,9196.0,2020-07-02T06:45:39.722Z
9196.0,9196.0,9196.5,9196.0,2020-07-02T06:45:48.666Z
9196.0,9196.0,9196.5,9196.0,2020-07-02T06:45:59.942Z
9196.0,9196.0,9196.5,9196.0,2020-07-02T06:46:08.389Z
9196.0,9196.0,9196.5,9196.0,2020-07-02T06:46:18.756Z
9196.5,9196.0,9196.5,9196.0,2020-07-02T06:46:29.631Z
9196.0,9196.0,9196.5,9196.0,2020-07-02T06:46:38.396Z
9196.0,9196.0,9196.5,9196.0,2020-07-02T06:46:48.374Z
9196.0,9196.0,9196.5,9196.0,2020-07-02T06:46:58.302Z
9196.5,9196.0,9196.5,9196.0,2020-07-02T06:47:10.146Z
9196.0,9196.0,9196.5,9196.0,2020-07-02T06:47:18.458Z
9196.0,9196.0,9196.5,9196.0,2020-07-02T06:47:29.440Z
9196.0,9196.0,9196.5,9196.0,2020-07-02T06:47:39.542Z
9196.0,9196.0,9196.5,9196.0,2020-07-02T06:47:49.418Z
9196.0,9196.0,9196.5,9196.0,2020-07-02T06:47:59.489Z
9196.5,9196.0,9196.5,9196.0,2020-07-02T06:48:09.739Z
9196.0,9196.0,9196.5,9196.0,2020-07-02T06:48:18.408Z
9196.0,9196.0,9196.5,9196.0,2020-07-02T06:48:28.373Z
9196.0,9196.0,9196.5,9196.0,2020-07-02T06:48:38.281Z
9196.0,9196.0,9196.5,9196.0,2020-07-02T06:48:48.268Z
9196.5,9196.0,9196.5,9196.0,2020-07-02T06:48:58.232Z
9196.5,9196.0,9196.5,9196.0,2020-07-02T06:49:08.692Z
9196.0,9196.0,9196.5,9196.0,2020-07-02T06:49:19.997Z
9196.0,9196.0,9196.5,9196.0,2020-07-02T06:49:28.410Z
9196.5,9196.0,9196.5,9196.0,2020-07-02T06:49:35.854Z
9196.5,9196.0,9196.5,9196.0,2020-07-02T06:49:48.301Z
9196.5,9196.0,9196.5,9196.0,2020-07-02T06:49:59.036Z
9196.5,9196.0,9196.5,9196.0,2020-07-02T06:50:08.970Z
9196.0,9196.0,9196.5,9196.0,2020-07-02T06:50:20.036Z
9196.5,9196.0,9196.5,9196.0,2020-07-02T06:50:27.810Z
9196.0,9196.0,9196.5,9196.0,2020-07-02T06:50:35.000Z
9196.0,9196.0,9196.5,9196.0,2020-07-02T06:50:45.000Z
9196.0,9196.0,9196.5,9196.0,2020-07-02T06:50:55.000Z
9196.5,9196.0,9196.5,9196.0,2020-07-02T06:51:02.457Z
9196.0,9196.0,9196.5,9196.0,2020-07-02T06:51:15.524Z
9196.5,9196.0,9196.5,9196.0,2020-07-02T06:51:28.961Z
9196.5,9196.0,9196.5,9196.0,2020-07-02T06:51:31.004Z
9196.5,9196.0,9196.5,9196.0,2020-07-02T06:51:47.217Z
9196.5,9196.0,9196.5,9196.0,2020-07-02T06:51:55.871Z
9196.0,9196.0,9196.5,9196.0,2020-07-02T06:52:10.409Z
9196.5,9196.0,9196.5,9196.0,2020-07-02T06:52:18.494Z
9196.5,9196.0,9196.5,9196.0,2020-07-02T06:52:30.000Z
9196.5,9196.0,9196.5,9196.0,2020-07-02T06:52:40.112Z
9196.5,9196.0,9196.5,9196.0,2020-07-02T06:52:50.526Z
9196.5,9196.0,9196.5,9196.0,2020-07-02T06:53:00.371Z
9196.5,9196.0,9196.5,9196.0,2020-07-02T06:53:10.000Z
9196.5,9196.0,9196.5,9196.0,2020-07-02T06:53:18.619Z
9196.5,9196.0,9196.5,9196.0,2020-07-02T06:53:28.820Z
9197.0,9196.5,9197.0,9197.0,2020-07-02T06:53:40.000Z
9196.5,9196.5,9197.0,9197.0,2020-07-02T06:53:50.163Z
9198.0,9197.0,9197.5,9197.0,2020-07-02T06:54:00.162Z
9198.0,9197.5,9198.0,9198.0,2020-07-02T06:54:05.119Z
9198.0,9197.5,9198.0,9198.0,2020-07-02T06:54:16.015Z
9198.0,9197.5,9198.0,9198.0,2020-07-02T06:54:28.889Z
9198.0,9197.5,9198.0,9198.0,2020-07-02T06:54:40.000Z
9199.0,9198.5,9199.0,9199.0,2020-07-02T06:54:48.876Z
9199.0,9198.5,9199.0,9199.0,2020-07-02T06:55:00.558Z
9200.0,9199.5,9200.0,9200.0,2020-07-02T06:55:10.610Z
9200.0,9200.0,9200.5,9200.0,2020-07-02T06:55:20.000Z
9200.5,9200.0,9200.5,9200.0,2020-07-02T06:55:30.295Z
9200.5,9200.0,9200.5,9200.0,2020-07-02T06:55:40.000Z
9200.5,9200.0,9200.5,9200.0,2020-07-02T06:55:50.000Z
9200.5,9200.0,9200.5,9200.0,2020-07-02T06:56:00.000Z
9200.5,9200.5,9201.0,9201.0,2020-07-02T06:56:06.567Z
9201.0,9200.5,9201.0,9201.0,2020-07-02T06:56:18.529Z
9200.5,9200.5,9201.0,9201.0,2020-07-02T06:56:30.775Z
9201.0,9200.5,9201.0,9201.0,2020-07-02T06:56:36.958Z
9200.5,9200.5,9201.0,9201.0,2020-07-02T06:56:49.212Z
9200.5,9200.5,9201.0,9201.0,2020-07-02T06:57:00.656Z
9201.5,9201.0,9201.5,9201.0,2020-07-02T06:57:10.000Z
9201.0,9201.0,9201.5,9201.0,2020-07-02T06:57:20.584Z
9201.5,9201.0,9201.5,9201.0,2020-07-02T06:57:28.851Z
9202.0,9201.5,9202.0,9202.0,2020-07-02T06:57:39.395Z
9202.0,9201.5,9202.0,9202.0,2020-07-02T06:57:47.838Z
9202.0,9201.5,9202.0,9202.0,2020-07-02T06:57:58.458Z
9202.0,9201.5,9202.0,9202.0,2020-07-02T06:58:10.000Z
9202.0,9201.5,9202.0,9202.0,2020-07-02T06:58:20.838Z
9202.0,9201.5,9202.0,9202.0,2020-07-02T06:58:30.590Z
9201.5,9201.5,9202.0,9202.0,2020-07-02T06:58:40.584Z
9202.0,9201.5,9202.0,9202.0,2020-07-02T06:58:46.548Z
9201.5,9201.5,9202.0,9202.0,2020-07-02T06:59:00.906Z
9201.5,9201.5,9202.0,9202.0,2020-07-02T06:59:10.000Z
9201.5,9201.5,9202.0,9202.0,2020-07-02T06:59:20.000Z
9202.0,9201.5,9202.0,9202.0,2020-07-02T06:59:30.260Z
9201.5,9201.5,9202.0,9202.0,2020-07-02T06:59:40.207Z
9201.5,9201.5,9202.0,9202.0,2020-07-02T06:59:51.400Z
9202.0,9201.5,9202.0,9202.0,2020-07-02T06:59:56.390Z
9200.0,9201.5,9202.0,9202.0,2020-07-02T07:00:11.010Z
9197.0,9197.0,9197.5,9197.0,2020-07-02T07:00:21.185Z
9197.0,9197.0,9197.5,9197.0,2020-07-02T07:00:30.477Z
9197.0,9197.0,9197.5,9197.0,2020-07-02T07:00:40.000Z
9196.5,9196.5,9197.0,9197.0,2020-07-02T07:00:51.045Z
9196.5,9196.5,9197.0,9197.0,2020-07-02T07:01:01.105Z
9196.5,9196.5,9197.0,9197.0,2020-07-02T07:01:08.690Z
9197.0,9196.5,9197.0,9197.0,2020-07-02T07:01:17.754Z
9196.5,9196.5,9197.0,9197.0,2020-07-02T07:01:30.585Z
9197.0,9196.5,9197.0,9197.0,2020-07-02T07:01:40.000Z
9196.5,9196.5,9197.0,9197.0,2020-07-02T07:01:50.000Z
9197.0,9196.5,9197.0,9197.0,2020-07-02T07:02:00.319Z
9196.5,9196.5,9197.0,9197.0,2020-07-02T07:02:10.000Z
9197.0,9196.5,9197.0,9197.0,2020-07-02T07:02:20.000Z
9197.0,9196.5,9197.0,9197.0,2020-07-02T07:02:31.014Z
9197.0,9196.5,9197.0,9197.0,2020-07-02T07:02:40.000Z
9196.5,9196.5,9197.0,9197.0,2020-07-02T07:02:50.629Z
9197.0,9196.5,9197.0,9197.0,2020-07-02T07:02:55.000Z
9197.0,9196.5,9197.0,9197.0,2020-07-02T07:03:10.000Z
9197.0,9196.5,9197.0,9197.0,2020-07-02T07:03:20.166Z
9197.0,9196.5,9197.0,9197.0,2020-07-02T07:03:30.000Z
9196.5,9196.5,9197.0,9197.0,2020-07-02T07:03:40.000Z
9197.0,9196.5,9197.0,9197.0,2020-07-02T07:03:50.000Z
9197.0,9196.5,9197.0,9197.0,2020-07-02T07:04:00.811Z
9197.0,9196.5,9197.0,9197.0,2020-07-02T07:04:10.317Z
9196.5,9196.5,9197.0,9197.0,2020-07-02T07:04:21.133Z
9198.0,9197.5,9198.0,9198.0,2020-07-02T07:04:31.417Z
9199.5,9199.0,9199.5,9199.0,2020-07-02T07:04:37.014Z
9199.5,9199.0,9199.5,9199.0,2020-07-02T07:04:47.931Z
9199.5,9199.0,9199.5,9199.0,2020-07-02T07:05:01.877Z
9199.5,9199.0,9199.5,9199.0,2020-07-02T07:05:10.000Z
9199.5,9199.0,9199.5,9199.0,2020-07-02T07:05:21.804Z
9199.0,9199.0,9199.5,9199.0,2020-07-02T07:05:27.810Z
9200.0,9199.5,9200.0,9200.0,2020-07-02T07:05:40.000Z
9200.0,9199.5,9200.0,9200.0,2020-07-02T07:05:50.000Z
9200.0,9199.5,9200.0,9200.0,2020-07-02T07:06:00.000Z
9199.5,9199.5,9200.0,9200.0,2020-07-02T07:06:10.839Z
9199.5,9199.0,9199.5,9199.0,2020-07-02T07:06:20.628Z
9199.5,9199.0,9199.5,9199.0,2020-07-02T07:06:30.125Z
9201.0,9199.0,9199.5,9199.0,2020-07-02T07:06:41.938Z
9206.0,9205.5,9206.0,9206.0,2020-07-02T07:06:50.225Z
9206.0,9205.5,9206.0,9206.0,2020-07-02T07:06:56.888Z
9206.0,9205.5,9206.0,9206.0,2020-07-02T07:07:10.000Z
9206.0,9205.5,9206.0,9206.0,2020-07-02T07:07:20.000Z
9206.0,9205.5,9206.0,9206.0,2020-07-02T07:07:30.012Z
9206.0,9205.5,9206.0,9206.0,2020-07-02T07:07:40.000Z
9206.0,9205.5,9206.0,9206.0,2020-07-02T07:07:50.000Z
9206.0,9205.5,9206.0,9206.0,2020-07-02T07:08:00.719Z
9208.5,9208.0,9208.5,9208.0,2020-07-02T07:08:10.276Z
9208.5,9208.0,9208.5,9208.0,2020-07-02T07:08:19.024Z
9208.0,9208.0,9208.5,9208.0,2020-07-02T07:08:31.891Z
9208.5,9208.0,9208.5,9208.0,2020-07-02T07:08:40.000Z
9208.0,9208.0,9208.5,9208.0,2020-07-02T07:08:52.131Z
9208.5,9208.0,9208.5,9208.0,2020-07-02T07:09:01.272Z
9208.5,9208.0,9208.5,9208.0,2020-07-02T07:09:01.272Z
9208.0,9208.0,9208.5,9208.0,2020-07-02T07:09:15.576Z
9208.5,9208.0,9208.5,9208.0,2020-07-02T07:09:30.601Z
9208.5,9208.0,9208.5,9208.0,2020-07-02T07:09:40.103Z
9208.0,9208.0,9208.5,9208.0,2020-07-02T07:09:50.026Z
9208.5,9208.0,9208.5,9208.0,2020-07-02T07:10:00.583Z
