,last,buy,sell,mid,timestamp
0,9170.5,9170.5,9171.0,9171.0,2020-06-30T16:22:52.591Z
0,9170.5,9170.5,9171.0,9171.0,2020-06-30T16:23:01.049Z
0,9170.5,9170.5,9171.0,9171.0,2020-06-30T16:23:11.156Z
0,9170.5,9170.5,9171.0,9171.0,2020-06-30T16:23:23.019Z
0,9171.5,9170.5,9171.0,9171.0,2020-06-30T16:23:30.821Z
0,9171.5,9171.0,9171.5,9171.0,2020-06-30T16:23:40.520Z
0,9171.5,9171.0,9171.5,9171.0,2020-06-30T16:23:52.047Z
0,9171.5,9171.0,9171.5,9171.0,2020-06-30T16:24:02.160Z
0,9171.0,9171.0,9171.5,9171.0,2020-06-30T16:24:12.984Z
0,9171.5,9171.0,9171.5,9171.0,2020-06-30T16:24:22.980Z
0,9171.5,9171.0,9171.5,9171.0,2020-06-30T16:24:33.121Z
0,9171.0,9171.0,9171.5,9171.0,2020-06-30T16:24:40.673Z
0,9171.0,9171.0,9171.5,9171.0,2020-06-30T16:24:50.000Z
0,9171.5,9171.0,9171.5,9171.0,2020-06-30T16:25:02.289Z
0,9171.5,9171.0,9171.5,9171.0,2020-06-30T16:25:11.579Z
0,9171.5,9171.0,9171.5,9171.0,2020-06-30T16:25:22.338Z
0,9171.5,9171.0,9171.5,9171.0,2020-06-30T16:25:30.000Z
0,9171.5,9171.0,9171.5,9171.0,2020-06-30T16:25:40.000Z
0,9171.5,9171.0,9171.5,9171.0,2020-06-30T16:25:50.000Z
