last,buy,sell,mid,timestamp
9081.0,9080.5,9081.0,9081.0,2020-07-04T05:13:18.400Z
9081.0,9080.5,9081.0,9081.0,2020-07-04T05:13:27.179Z
9081.0,9080.5,9081.0,9081.0,2020-07-04T05:13:37.585Z
9081.0,9080.5,9081.0,9081.0,2020-07-04T05:13:46.011Z
9081.0,9080.5,9081.0,9081.0,2020-07-04T05:13:55.000Z
9081.0,9080.5,9081.0,9081.0,2020-07-04T05:14:06.788Z
9085.0,9084.5,9085.0,9085.0,2020-07-04T05:14:18.652Z
9084.5,9084.5,9085.0,9085.0,2020-07-04T05:14:28.793Z
9085.0,9084.5,9085.0,9085.0,2020-07-04T05:14:40.000Z
9084.5,9084.5,9085.0,9085.0,2020-07-04T05:14:50.105Z
9085.0,9085.0,9085.5,9085.0,2020-07-04T05:15:00.000Z
9085.0,9085.0,9085.5,9085.0,2020-07-04T05:15:05.000Z
9085.5,9085.0,9085.5,9085.0,2020-07-04T05:15:18.909Z
9085.0,9086.5,9087.0,9087.0,2020-07-04T05:15:30.165Z
9081.5,9081.5,9082.0,9082.0,2020-07-04T05:15:40.000Z
9082.0,9081.5,9082.0,9082.0,2020-07-04T05:15:50.000Z
9082.0,9081.5,9082.0,9082.0,2020-07-04T05:16:00.000Z
9081.5,9081.5,9082.0,9082.0,2020-07-04T05:16:10.000Z
9081.5,9081.5,9082.0,9082.0,2020-07-04T05:16:20.000Z
9081.5,9081.5,9082.0,9082.0,2020-07-04T05:16:29.568Z
9082.0,9081.5,9082.0,9082.0,2020-07-04T05:16:40.015Z
9081.5,9081.5,9082.0,9082.0,2020-07-04T05:16:45.305Z
9081.5,9081.5,9082.0,9082.0,2020-07-04T05:16:57.744Z
9082.0,9081.5,9082.0,9082.0,2020-07-04T05:17:05.000Z
9081.5,9081.5,9082.0,9082.0,2020-07-04T05:17:18.690Z
9081.5,9081.5,9082.0,9082.0,2020-07-04T05:17:25.000Z
9081.5,9081.5,9082.0,9082.0,2020-07-04T05:17:31.318Z
9082.0,9081.5,9082.0,9082.0,2020-07-04T05:17:49.289Z
9081.5,9081.5,9082.0,9082.0,2020-07-04T05:18:00.000Z
9081.5,9081.5,9082.0,9082.0,2020-07-04T05:18:10.000Z
9081.5,9081.5,9082.0,9082.0,2020-07-04T05:18:15.000Z
9081.5,9081.5,9082.0,9082.0,2020-07-04T05:18:29.356Z
9081.5,9081.5,9082.0,9082.0,2020-07-04T05:18:37.760Z
9081.5,9081.5,9082.0,9082.0,2020-07-04T05:18:49.836Z
9081.5,9081.5,9082.0,9082.0,2020-07-04T05:18:57.933Z
9081.5,9081.5,9082.0,9082.0,2020-07-04T05:19:05.000Z
9081.5,9081.5,9082.0,9082.0,2020-07-04T05:19:20.000Z
9081.5,9081.5,9082.0,9082.0,2020-07-04T05:19:30.000Z
9081.5,9081.5,9082.0,9082.0,2020-07-04T05:19:40.000Z
9081.5,9081.5,9082.0,9082.0,2020-07-04T05:19:45.000Z
9082.0,9081.5,9082.0,9082.0,2020-07-04T05:20:00.627Z
9082.0,9081.5,9082.0,9082.0,2020-07-04T05:20:02.512Z
9081.5,9081.5,9082.0,9082.0,2020-07-04T05:20:20.000Z
9081.5,9081.5,9082.0,9082.0,2020-07-04T05:20:30.000Z
9081.5,9081.5,9082.0,9082.0,2020-07-04T05:20:40.000Z
9082.0,9081.5,9082.0,9082.0,2020-07-04T05:20:48.640Z
9082.0,9081.5,9082.0,9082.0,2020-07-04T05:21:00.000Z
9082.0,9081.5,9082.0,9082.0,2020-07-04T05:21:05.000Z
9082.0,9081.5,9082.0,9082.0,2020-07-04T05:21:20.000Z
9082.0,9081.5,9082.0,9082.0,2020-07-04T05:21:30.000Z
9082.0,9081.5,9082.0,9082.0,2020-07-04T05:21:35.000Z
9081.5,9081.5,9082.0,9082.0,2020-07-04T05:21:50.000Z
9081.5,9081.5,9082.0,9082.0,2020-07-04T05:22:00.000Z
9082.0,9081.5,9082.0,9082.0,2020-07-04T05:22:05.000Z
9082.0,9081.5,9082.0,9082.0,2020-07-04T05:22:18.561Z
9081.5,9081.5,9082.0,9082.0,2020-07-04T05:22:30.809Z
9081.5,9081.5,9082.0,9082.0,2020-07-04T05:22:40.000Z
9082.0,9081.5,9082.0,9082.0,2020-07-04T05:22:50.241Z
9082.0,9081.5,9082.0,9082.0,2020-07-04T05:22:58.447Z
9081.5,9081.5,9082.0,9082.0,2020-07-04T05:23:05.000Z
9082.0,9081.5,9082.0,9082.0,2020-07-04T05:23:18.344Z
9081.0,9081.5,9082.0,9082.0,2020-07-04T05:23:31.232Z
9080.0,9080.0,9080.5,9080.0,2020-07-04T05:23:40.000Z
9077.0,9077.0,9077.5,9077.0,2020-07-04T05:23:50.649Z
9077.0,9077.0,9077.5,9077.0,2020-07-04T05:23:57.329Z
9077.0,9077.0,9077.5,9077.0,2020-07-04T05:24:08.819Z
9077.5,9077.0,9077.5,9077.0,2020-07-04T05:24:21.171Z
9077.5,9077.0,9077.5,9077.0,2020-07-04T05:24:29.881Z
9077.0,9077.0,9077.5,9077.0,2020-07-04T05:24:40.000Z
9077.0,9077.0,9077.5,9077.0,2020-07-04T05:24:46.007Z
9077.5,9077.0,9077.5,9077.0,2020-07-04T05:24:55.000Z
9077.0,9077.0,9077.5,9077.0,2020-07-04T05:25:10.000Z
9077.0,9077.0,9077.5,9077.0,2020-07-04T05:25:20.000Z
9077.0,9077.0,9077.5,9077.0,2020-07-04T05:25:30.000Z
9077.0,9077.0,9077.5,9077.0,2020-07-04T05:25:36.901Z
9077.5,9077.0,9077.5,9077.0,2020-07-04T05:25:51.177Z
9077.0,9077.0,9077.5,9077.0,2020-07-04T05:26:00.000Z
9077.0,9077.0,9077.5,9077.0,2020-07-04T05:26:10.625Z
9077.0,9077.0,9077.5,9077.0,2020-07-04T05:26:20.000Z
9077.5,9077.0,9077.5,9077.0,2020-07-04T05:26:30.000Z
9077.5,9077.0,9077.5,9077.0,2020-07-04T05:26:40.000Z
9077.5,9077.0,9077.5,9077.0,2020-07-04T05:26:50.000Z
9077.5,9077.0,9077.5,9077.0,2020-07-04T05:27:00.000Z
9077.5,9077.0,9077.5,9077.0,2020-07-04T05:27:10.000Z
9077.5,9077.0,9077.5,9077.0,2020-07-04T05:27:15.984Z
9077.0,9077.0,9077.5,9077.0,2020-07-04T05:27:30.000Z
